name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick,rating_bucket,salary_million,position_group,bmi
Dillon Brooks,Canada,None,Phoenix Suns,9,SF,PF,2-Way Sharpshooter,"6'6""",198,225.0,101.0,"6'6""",198.0,,8.0,"January 22, 1996","Mississauga, Canada",Oregon,81,81.0,83.0,94.0,83.0,82.0,85.0,60.0,82.0,75.0,91.0,65.0,75.0,88.0,95.0,85.0,66.0,74.0,35.0,75.0,55.0,59.0,64.0,78.0,85.0,59.0,59.0,74.0,69.0,58.0,34.0,74.0,77.0,89.0,40.0,40.0,90.0,90.0,90.0,44.0,41.0,47.0,60.0,83.0,2627.0,,,,silver,,,,,,,,,,,,,,,,,,,,,,gold,,,silver,,gold,gold,,silver,bronze,,,,silver,gold,Great,,Wing,25.762677277828793
Dillon Jones,United States,None,Washington Wizards,3,PF,SF,Perimeter Defender,"6'6""",198,235.0,106.0,"6'10""",208.0,,1.0,"October 29, 2001","Columbia, South Carolina",Weber State,69,55.0,63.0,70.0,57.0,55.0,50.0,35.0,78.0,75.0,82.0,70.0,71.0,85.0,80.0,80.0,58.0,72.0,35.0,65.0,50.0,50.0,50.0,55.0,89.0,65.0,68.0,70.0,67.0,69.0,53.0,57.0,67.0,69.0,42.0,42.0,69.0,57.0,55.0,63.0,58.0,67.0,55.0,77.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,27.038057341087644
Domantas Sabonis,Lithuania,United States,Sacramento Kings,11,C,None,3-Level Scoring Playmaker,"6'10""",208,240.0,108.0,"6'11""",211.0,,9.0,"May 3, 1996","Portland, Oregon",Gonzaga,87,87.0,98.0,86.0,83.0,75.0,80.0,98.0,72.0,48.0,49.0,82.0,54.0,95.0,90.0,86.0,88.0,84.0,75.0,75.0,94.0,94.0,93.0,90.0,98.0,69.0,82.0,60.0,43.0,85.0,73.0,54.0,70.0,49.0,36.0,50.0,69.0,45.0,60.0,88.0,81.0,94.0,75.0,89.0,2788.0,,,,,,,,gold,silver,gold,bronze,silver,silver,silver,,bronze,,bronze,silver,gold,,,bronze,,silver,,,,,,,,,,,gold,silver,silver,,,Great,,Big,24.96301775147929
Dominick Barlow,United States,None,Philadelphia 76ers,0,C,PF,Rim Protector,"6'9""",206,215.0,97.0,"7'1""",216.0,,3.0,"May 26, 2003","Dumont, New Jersey",St. Joseph's Prep,73,78.0,91.0,73.0,70.0,72.0,80.0,80.0,74.0,68.0,68.0,62.0,75.0,80.0,85.0,80.0,58.0,65.0,60.0,75.0,52.0,50.0,52.0,35.0,75.0,54.0,51.0,69.0,64.0,52.0,33.0,52.0,50.0,47.0,41.0,82.0,57.0,49.0,40.0,68.0,71.0,64.0,80.0,73.0,2371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Big,22.857950796493544
Donovan Clingan,United States,None,Portland Trail Blazers,23,C,None,Defensive Anchor,"7'3""",221,265.0,119.0,"7'7""",231.0,,1.0,"February 23, 2004","Bristol, Connecticut",UConn,80,65.0,67.0,59.0,71.0,60.0,75.0,55.0,68.0,44.0,45.0,78.0,60.0,82.0,85.0,80.0,71.0,60.0,85.0,75.0,72.0,54.0,69.0,55.0,95.0,47.0,55.0,46.0,38.0,62.0,34.0,67.0,77.0,49.0,41.0,93.0,79.0,58.0,75.0,90.0,93.0,87.0,85.0,85.0,2483.0,,,,,,,,,,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,bronze,,,gold,silver,bronze,,,Great,,Big,24.364775495997215
Donovan Mitchell,United States,None,Cleveland Cavaliers,45,SG,PG,Inside-Out Combo Guard,"6'3""",191,215.0,97.0,"6'10""",208.0,,8.0,"September 7, 1996","Elmsford, Connecticut",Louisville,93,89.0,95.0,82.0,85.0,82.0,90.0,98.0,88.0,95.0,90.0,60.0,97.0,96.0,95.0,80.0,70.0,97.0,50.0,92.0,37.0,49.0,44.0,90.0,98.0,85.0,84.0,90.0,86.0,92.0,71.0,68.0,68.0,75.0,59.0,42.0,79.0,79.0,75.0,48.0,39.0,56.0,90.0,94.0,2881.0,gold,silver,gold,gold,gold,bronze,silver,,silver,,gold,,,,gold,,silver,silver,,,bronze,gold,silver,bronze,silver,,,,,,,,,,,,,,bronze,bronze,Elite,,Guard,26.589183410542475
Donte DiVincenzo,United States,None,Minnesota Timberwolves,0,SG,SF,2-Way 3-Level Scoring Threat,"6'4""",193,203.0,91.0,"6'6""",198.0,,7.0,"January 31, 1997","Newark, Delaware",Villanova,79,78.0,76.0,81.0,84.0,79.0,75.0,75.0,84.0,87.0,87.0,60.0,95.0,90.0,85.0,81.0,53.0,80.0,25.0,75.0,28.0,45.0,38.0,64.0,70.0,77.0,77.0,79.0,81.0,79.0,70.0,73.0,58.0,82.0,70.0,50.0,84.0,88.0,80.0,48.0,36.0,60.0,80.0,80.0,2634.0,,,,silver,,,bronze,,bronze,,,,,,,,,bronze,silver,,,,bronze,,,,bronze,,bronze,bronze,bronze,bronze,,,,,bronze,,bronze,,Good,,Guard,24.43018604526296
Dorian Finney-Smith,United States,None,Houston Rockets,17,PF,C,2-Way Inside-Out Threat,"6'7""",201,220.0,99.0,"7'0""",213.0,,9.0,"May 4, 1993","Portsmouth, Virginia",Florida,76,75.0,80.0,71.0,84.0,64.0,70.0,80.0,76.0,67.0,82.0,62.0,83.0,80.0,80.0,81.0,62.0,84.0,40.0,84.0,54.0,50.0,54.0,58.0,72.0,54.0,65.0,60.0,44.0,68.0,32.0,67.0,72.0,83.0,43.0,51.0,74.0,74.0,75.0,51.0,50.0,52.0,70.0,78.0,2471.0,,,,bronze,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,bronze,bronze,,,,,,,bronze,silver,Good,,Wing,24.504343951882387
Doug McDermott,United States,None,Sacramento Kings,7,PF,SF,Catch & Shoot Ace,"6'6""",198,225.0,101.0,"6'9""",206.0,,11.0,"January 3, 1992","Grand Forks, North Dakota",Creighton,71,73.0,85.0,78.0,87.0,76.0,60.0,50.0,68.0,59.0,60.0,60.0,67.0,81.0,67.0,83.0,65.0,79.0,50.0,65.0,60.0,66.0,62.0,60.0,75.0,54.0,65.0,67.0,47.0,65.0,27.0,48.0,52.0,58.0,32.0,42.0,63.0,50.0,40.0,39.0,30.0,48.0,30.0,76.0,2222.0,bronze,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,25.762677277828793
Draymond Green,United States,None,Golden State Warriors,23,PF,C,2-Way Mid-Range Point Center,"6'6""",198,230.0,104.0,"7'1""",216.0,,13.0,"March 4, 1990","Saginaw, Michigan",Michigan State,81,73.0,94.0,91.0,74.0,68.0,55.0,55.0,82.0,73.0,84.0,85.0,66.0,85.0,90.0,88.0,62.0,70.0,55.0,65.0,60.0,59.0,63.0,40.0,85.0,79.0,83.0,78.0,69.0,92.0,73.0,86.0,93.0,88.0,70.0,80.0,95.0,84.0,95.0,59.0,45.0,73.0,75.0,88.0,2786.0,,,,,,,,,,bronze,bronze,,,,,,,bronze,bronze,gold,,,bronze,,gold,gold,,silver,gold,bronze,gold,gold,gold,silver,gold,,,bronze,,gold,Great,,Wing,26.527905315784103
Drew Eubanks,United States,None,Sacramento Kings,15,C,None,Inside-Out Scoring Threat,"6'10""",208,245.0,110.0,"7'0""",213.0,,7.0,"February 1, 1997","Starkville, Mississippi",Oregon State,77,81.0,97.0,73.0,77.0,66.0,88.0,85.0,73.0,61.0,62.0,68.0,75.0,80.0,85.0,83.0,71.0,69.0,75.0,70.0,74.0,74.0,74.0,54.0,75.0,43.0,42.0,37.0,38.0,55.0,43.0,55.0,60.0,47.0,36.0,85.0,59.0,50.0,45.0,76.0,65.0,86.0,60.0,78.0,2451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,bronze,,,bronze,Good,,Big,25.425295857988164
Drew  Peterson,United States,None,Charlotte Hornets,13,SF,PF,Catch & Shoot Threat,"6'9""",206,205.0,92.0,"7'1""",216.0,,2.0,"November 9, 1999","Libertyville, illinois",Southern California,70,71.0,70.0,74.0,79.0,75.0,75.0,50.0,71.0,59.0,58.0,62.0,68.0,85.0,85.0,80.0,56.0,73.0,60.0,65.0,45.0,47.0,46.0,45.0,70.0,60.0,69.0,68.0,58.0,68.0,38.0,45.0,52.0,43.0,40.0,42.0,45.0,50.0,40.0,59.0,52.0,66.0,60.0,72.0,2234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,21.67970591007635
Drew Timme,United States,None,Brooklyn Nets,26,C,PF,Stretch Five,"6'10""",208,235.0,106.0,"7'2""",218.0,,2.0,"September 9, 2000","Richardson, Texas",Gonzaga,71,69.0,86.0,75.0,75.0,79.0,70.0,30.0,65.0,48.0,40.0,68.0,66.0,80.0,75.0,81.0,66.0,68.0,70.0,65.0,68.0,67.0,68.0,40.0,80.0,53.0,58.0,52.0,40.0,70.0,47.0,46.0,57.0,40.0,46.0,45.0,58.0,47.0,30.0,66.0,66.0,66.0,75.0,75.0,2271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Big,24.500739644970412
Dru Smith,United States,None,Miami Heat,12,PG,SG,Perimeter Threat,"6'2""",188,200.0,90.0,"6'6""",198.0,,4.0,"December 30, 1997","Evansville, Indiana",Missouri,73,74.0,57.0,74.0,81.0,84.0,75.0,70.0,69.0,70.0,70.0,43.0,62.0,85.0,75.0,80.0,50.0,79.0,40.0,45.0,38.0,37.0,40.0,40.0,80.0,70.0,78.0,79.0,70.0,78.0,46.0,62.0,40.0,63.0,83.0,62.0,65.0,68.0,50.0,50.0,50.0,49.0,98.0,73.0,2377.0,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,Good,,Guard,25.46401086464464
Duncan Robinson,United States,None,Detroit Pistons,55,SG,SF,Catch & Shoot Ace,"6'7""",201,215.0,97.0,"7'1""",216.0,,7.0,"April 22, 1994","Las Vegas, Nevada",Michigan,77,85.0,94.0,81.0,84.0,90.0,85.0,75.0,68.0,59.0,65.0,35.0,72.0,85.0,75.0,83.0,55.0,75.0,30.0,70.0,40.0,44.0,35.0,54.0,90.0,65.0,66.0,72.0,56.0,70.0,60.0,43.0,50.0,52.0,38.0,32.0,50.0,50.0,30.0,39.0,30.0,47.0,75.0,78.0,2277.0,silver,bronze,,gold,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,Good,,Guard,24.009306700329205
Duop Reath,Australia,South Sudan,Portland Trail Blazers,26,C,None,Stretch Five,"6'9""",206,245.0,110.0,"7'1""",216.0,,7.0,"June 26, 1996","Perth, Australia",Louisiana State,75,81.0,85.0,68.0,75.0,80.0,95.0,85.0,73.0,59.0,52.0,73.0,75.0,83.0,90.0,80.0,61.0,68.0,50.0,60.0,55.0,55.0,55.0,68.0,74.0,43.0,40.0,52.0,46.0,44.0,35.0,53.0,62.0,37.0,41.0,67.0,68.0,50.0,45.0,61.0,69.0,52.0,80.0,75.0,2348.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,,,,,,,,,,,silver,Good,,Big,25.921387501178245
Dwight Powell,Canada,None,Dallas Mavericks,7,C,None,Inside-Out Scoring Threat,"6'10""",208,240.0,108.0,"7'1""",216.0,,11.0,"July 20, 1991","Toronto, Canada",Stanford,72,60.0,92.0,65.0,78.0,62.0,30.0,30.0,78.0,71.0,58.0,80.0,67.0,90.0,95.0,83.0,77.0,70.0,75.0,65.0,77.0,79.0,79.0,83.0,90.0,55.0,55.0,60.0,44.0,64.0,50.0,64.0,74.0,45.0,46.0,73.0,68.0,74.0,65.0,65.0,68.0,61.0,30.0,79.0,2475.0,,,,,,,,,,silver,,,silver,,,bronze,,,,,,,,,,,,,,,,,,,,bronze,,silver,,,Good,,Big,24.96301775147929
Dylan Harper,United States,Philippines,San Antonio Spurs,2,SG,PG,,"6'6""",198,215.0,97.0,,,,0.0,"March 2, 2006","Franklin Lakes, New Jersey",Rutgers,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,24.742373227221712
Dyson Daniels,Australia,None,Atlanta Hawks,5,PG,SG,2-Way Inside-Out ISO Creator,"6'7""",201,199.0,90.0,"6'11""",211.0,,3.0,"March 17, 2003","Bendigo, Australia",NBA G League Ignite,83,73.0,91.0,68.0,80.0,59.0,70.0,70.0,78.0,79.0,89.0,52.0,75.0,89.0,85.0,80.0,60.0,85.0,25.0,75.0,44.0,55.0,47.0,62.0,85.0,79.0,82.0,86.0,79.0,82.0,66.0,84.0,67.0,94.0,98.0,58.0,87.0,95.0,90.0,56.0,51.0,61.0,65.0,88.0,2714.0,,,,,,,gold,,silver,,,,,,,,,,silver,,,,gold,,silver,gold,gold,,gold,gold,gold,gold,,gold,,,silver,,,silver,Great,,Guard,22.276676319893078
Egor Demin,Russia,None,Brooklyn Nets,8,SF,SG,,"6'9""",206,200.0,90.0,,,,0.0,"March 3, 2006","Moscow, Russia",BYU,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Wing,21.208407955509475
Elijah Harkless,United States,None,Utah Jazz,16,PG,SG,3 & D Threat,"6'3""",191,185.0,83.0,"6'7""",201.0,,2.0,"February 3, 2000","San Bernardino, California",UNLV,67,61.0,67.0,68.0,75.0,75.0,50.0,30.0,78.0,80.0,85.0,57.0,75.0,85.0,85.0,80.0,45.0,67.0,25.0,51.0,28.0,38.0,31.0,44.0,75.0,73.0,74.0,76.0,80.0,72.0,62.0,65.0,42.0,76.0,80.0,47.0,70.0,72.0,70.0,53.0,48.0,57.0,30.0,72.0,2299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Guard,22.75156931005181
Emanuel Miller,Canada,None,Chicago Bulls,20,SF,PF,Interior Threat,"6'7""",201,215.0,97.0,"6'11""",211.0,,1.0,"June 19, 2000","Ontario, Canada",TCU,68,60.0,67.0,70.0,74.0,75.0,40.0,35.0,79.0,82.0,79.0,60.0,84.0,85.0,80.0,80.0,59.0,70.0,45.0,80.0,45.0,55.0,57.0,40.0,80.0,57.0,56.0,60.0,67.0,57.0,44.0,50.0,55.0,58.0,50.0,47.0,50.0,47.0,40.0,55.0,49.0,60.0,40.0,72.0,2235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,24.009306700329205
Enrique Freeman,United States,None,Minnesota Timberwolves,8,PF,C,Interior Threat,"6'7""",201,214.0,96.0,"6'11""",211.0,,1.0,"July 29, 2000","Cleveland, Ohio",Akron,69,56.0,74.0,66.0,66.0,67.0,35.0,30.0,79.0,74.0,74.0,60.0,81.0,88.0,95.0,80.0,65.0,74.0,60.0,80.0,61.0,61.0,62.0,40.0,80.0,54.0,59.0,62.0,59.0,60.0,32.0,58.0,66.0,66.0,35.0,56.0,68.0,63.0,50.0,49.0,40.0,57.0,75.0,77.0,2333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average,,Wing,23.761788074552616
Eric Gordon,Bahamas,United States,Philadelphia 76ers,23,SG,SF,Perimeter Shot Creator,"6'3""",191,215.0,97.0,"6'9""",206.0,,17.0,"December 25, 1988","Indianapolis, Indiana",Indiana,75,71.0,77.0,80.0,85.0,75.0,60.0,50.0,79.0,79.0,79.0,60.0,82.0,92.0,85.0,78.0,60.0,75.0,30.0,70.0,35.0,63.0,50.0,60.0,94.0,68.0,69.0,79.0,78.0,73.0,43.0,58.0,42.0,73.0,46.0,56.0,73.0,68.0,50.0,35.0,30.0,39.0,60.0,76.0,2414.0,silver,,silver,gold,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,silver,,Good,,Guard,26.589183410542475
Evan Mobley,United States,None,Cleveland Cavaliers,4,PF,C,2-Way Inside-Out Threat,"6'11""",211,215.0,97.0,"7'4""",224.0,,4.0,"June 18, 2001","San Diego, California",USC,89,83.0,85.0,67.0,80.0,74.0,95.0,95.0,82.0,72.0,79.0,74.0,81.0,97.0,90.0,80.0,85.0,84.0,90.0,85.0,83.0,83.0,83.0,75.0,95.0,68.0,69.0,60.0,66.0,84.0,59.0,83.0,94.0,82.0,41.0,86.0,95.0,85.0,95.0,75.0,65.0,85.0,95.0,97.0,3005.0,,,,bronze,,gold,,bronze,bronze,silver,silver,bronze,,silver,silver,gold,,,,bronze,,,silver,,bronze,,,gold,silver,,,,gold,,gold,silver,silver,bronze,,gold,Great,,Wing,21.787471081062872
Franz Wagner,Germany,None,Orlando Magic,22,SF,SG,Shot-Creating 3-Level Threat,"6'10""",208,220.0,99.0,"7'0""",213.0,,4.0,"August 27, 2001","Berlin, Germany",Michigan,86,86.0,91.0,76.0,75.0,86.0,90.0,98.0,76.0,70.0,73.0,65.0,75.0,85.0,85.0,80.0,74.0,93.0,55.0,80.0,57.0,59.0,59.0,95.0,95.0,78.0,80.0,85.0,68.0,84.0,73.0,64.0,56.0,73.0,53.0,50.0,74.0,73.0,70.0,54.0,40.0,68.0,95.0,90.0,2774.0,,,,bronze,,,gold,,gold,,gold,,,,silver,,,gold,gold,,,,gold,silver,silver,bronze,,,,,gold,,,bronze,,,,,gold,silver,Great,,Wing,22.882766272189347
Fred VanVleet,United States,None,Houston Rockets,5,PG,None,2-Way Perimeter Playmaker,"6'0""",183,197.0,89.0,"6'2""",188.0,,9.0,"February 25, 1994","Rockford, Illinois",Wichita State,80,76.0,75.0,82.0,78.0,81.0,80.0,60.0,79.0,83.0,83.0,42.0,75.0,95.0,94.0,82.0,47.0,70.0,25.0,35.0,30.0,32.0,28.0,55.0,98.0,82.0,84.0,86.0,83.0,85.0,70.0,66.0,27.0,83.0,66.0,51.0,79.0,74.0,80.0,41.0,33.0,49.0,85.0,84.0,2502.0,,,bronze,,bronze,,,,bronze,,,,,,,,bronze,bronze,,,,gold,bronze,silver,silver,,,,,,,,,bronze,,,,,,,Great,,Guard,26.575890590940304
Gabe Vincent,Nigeria,United States,Los Angeles Lakers,7,PG,SG,3-Level Scoring Threat,"6'2""",188,200.0,90.0,"6'7""",201.0,,7.0,"June 14, 1996","Modesto, California",UC Santa Barbara,77,83.0,93.0,94.0,81.0,78.0,75.0,75.0,70.0,73.0,73.0,40.0,66.0,85.0,69.0,82.0,47.0,80.0,25.0,45.0,26.0,32.0,26.0,55.0,90.0,69.0,78.0,82.0,70.0,79.0,37.0,50.0,37.0,60.0,46.0,45.0,60.0,57.0,45.0,35.0,33.0,37.0,90.0,79.0,2298.0,bronze,,,bronze,silver,,silver,,,,,,,,,,,,bronze,,,,silver,bronze,silver,,,,,,,,,,,,,,,,Good,,Guard,25.46401086464464
Garrett Temple,United States,None,Toronto Raptors,17,SG,SF,Perimeter Defender,"6'5""",196,195.0,88.0,"6'9""",206.0,,16.0,"May 8, 1986","Baton Rouge, Louisiana",LSU,70,66.0,82.0,55.0,72.0,79.0,70.0,40.0,70.0,57.0,76.0,44.0,69.0,85.0,79.0,82.0,49.0,70.0,25.0,30.0,37.0,55.0,46.0,40.0,85.0,66.0,75.0,75.0,57.0,74.0,47.0,64.0,46.0,78.0,59.0,47.0,77.0,74.0,70.0,55.0,58.0,51.0,70.0,73.0,2309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Good,,Guard,22.907122032486466
Gary Harris,United States,None,Milwaukee Bucks,14,SG,SF,2-Way 3-Level Shot Creator,"6'4""",193,210.0,95.0,"6'7""",201.0,,11.0,"September 14, 1994","Fishers, Indiana",Michigan State,72,70.0,88.0,79.0,75.0,79.0,60.0,40.0,76.0,75.0,80.0,53.0,78.0,85.0,80.0,83.0,56.0,84.0,40.0,50.0,28.0,51.0,47.0,60.0,85.0,65.0,75.0,76.0,70.0,75.0,31.0,68.0,68.0,82.0,56.0,57.0,80.0,55.0,80.0,43.0,41.0,44.0,40.0,76.0,2406.0,bronze,,,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,,,,,,bronze,,Good,,Guard,25.50404037692287
Gary Trent Jr.,United States,None,Milwaukee Bucks,5,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,209.0,94.0,"6'9""",206.0,,7.0,"January 18, 1999","Columbus, Ohio",Duke,79,79.0,94.0,78.0,85.0,83.0,65.0,70.0,79.0,85.0,85.0,58.0,90.0,80.0,70.0,82.0,62.0,80.0,40.0,75.0,44.0,57.0,46.0,84.0,73.0,66.0,70.0,79.0,77.0,71.0,31.0,50.0,50.0,61.0,53.0,30.0,60.0,64.0,35.0,38.0,31.0,45.0,80.0,80.0,2441.0,bronze,,,bronze,bronze,,,,silver,,,,,,bronze,,,,,,,bronze,,,,,,,,,,,,,,,,,bronze,gold,Good,,Guard,24.46897126197418
Georges Niang,United States,None,Utah Jazz,20,PF,None,Stretch Four,"6'7""",201,230.0,104.0,"6'10""",208.0,,9.0,"June 17, 1993","Lawrence, Massachusetts",Iowa State,77,78.0,97.0,79.0,84.0,80.0,80.0,50.0,69.0,44.0,55.0,60.0,72.0,88.0,80.0,84.0,60.0,77.0,25.0,50.0,70.0,71.0,70.0,40.0,74.0,57.0,65.0,67.0,44.0,70.0,37.0,51.0,60.0,55.0,35.0,42.0,62.0,60.0,40.0,51.0,40.0,62.0,95.0,77.0,2341.0,bronze,,,gold,,,,,,,bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,bronze,,,Good,,Wing,25.741937080765336
Giannis Antetokounmpo,Greece,Nigeria,Milwaukee Bucks,34,PF,C,2-Way Inside-The-Arc Playmaker,"6'11""",211,243.0,109.0,"7'4""",224.0,,12.0,"December 6, 1994","Athens, Greece",Filathlitikos (Greece),97,80.0,90.0,84.0,52.0,60.0,98.0,98.0,91.0,89.0,86.0,94.0,85.0,98.0,95.0,91.0,89.0,98.0,85.0,91.0,79.0,74.0,90.0,97.0,95.0,85.0,84.0,87.0,80.0,95.0,80.0,85.0,90.0,87.0,70.0,71.0,92.0,88.0,95.0,76.0,61.0,91.0,98.0,98.0,3196.0,,,,,,gold,silver,silver,gold,gold,hof,silver,gold,silver,gold,bronze,,bronze,silver,silver,,silver,gold,,silver,silver,silver,gold,gold,silver,silver,gold,gold,bronze,gold,gold,silver,silver,,gold,Elite,,Wing,24.48282832820467
Goga Bitadze,Georgia,None,Orlando Magic,35,C,None,Board-Hunting Lob Threat,"6'11""",211,250.0,113.0,"7'2""",218.0,,6.0,"July 20, 1999","Sagarejo, Georgia","Budućnost (Prva A Liga, Montenegro)",79,76.0,97.0,68.0,65.0,64.0,95.0,65.0,70.0,53.0,54.0,88.0,63.0,80.0,75.0,80.0,67.0,50.0,75.0,65.0,76.0,68.0,76.0,40.0,85.0,59.0,54.0,60.0,52.0,69.0,58.0,57.0,64.0,25.0,49.0,89.0,80.0,40.0,55.0,85.0,83.0,86.0,65.0,80.0,2491.0,,,,,,silver,,bronze,,silver,,,silver,bronze,,silver,,,,,,,,,,,,bronze,,,,,,,,gold,silver,gold,,,Good,,Big,25.3812807439186
Gradey Dick,United States,None,Toronto Raptors,1,SG,SF,Shot-Creating 3-Level Threat,"6'6""",198,205.0,92.0,"6'9""",206.0,,2.0,"November 20, 2003","Wichita, Kansas City",Kansas,79,83.0,74.0,85.0,78.0,86.0,85.0,90.0,77.0,76.0,74.0,54.0,78.0,89.0,85.0,80.0,58.0,85.0,35.0,75.0,36.0,47.0,40.0,66.0,80.0,66.0,70.0,79.0,74.0,68.0,37.0,58.0,55.0,73.0,43.0,40.0,69.0,73.0,55.0,46.0,40.0,51.0,70.0,84.0,2479.0,bronze,,,silver,bronze,,,,bronze,,bronze,,,,,,,,,,,,bronze,,,,,,,,,,,,,,,,bronze,bronze,Good,,Guard,23.46699316396286
Grant Williams,United States,None,Charlotte Hornets,2,PF,C,Stretch Four,"6'6""",198,236.0,106.0,"6'10""",208.0,,6.0,"November 30, 1998","Houston, Texas",Tennessee,76,76.0,81.0,73.0,80.0,84.0,70.0,70.0,76.0,58.0,70.0,73.0,66.0,88.0,95.0,80.0,65.0,79.0,50.0,60.0,59.0,58.0,66.0,60.0,90.0,61.0,69.0,66.0,54.0,72.0,43.0,65.0,68.0,68.0,56.0,67.0,69.0,60.0,65.0,55.0,45.0,64.0,60.0,77.0,2513.0,,,,silver,,,,,,,bronze,,,,,,,,bronze,,,,,,,,,,,,bronze,,,,,,silver,,,silver,Good,,Wing,27.038057341087644
Grayson Allen,United States,None,Phoenix Suns,8,SF,SG,Inside-Out Shot Creator,"6'4""",193,198.0,89.0,"6'7""",201.0,,7.0,"October 8, 1995","Jacksonville, Florida",Duke,77,73.0,76.0,70.0,87.0,81.0,60.0,65.0,76.0,84.0,78.0,44.0,81.0,85.0,80.0,82.0,55.0,85.0,25.0,70.0,31.0,43.0,42.0,69.0,78.0,70.0,70.0,78.0,79.0,78.0,45.0,57.0,35.0,72.0,49.0,51.0,70.0,74.0,45.0,45.0,37.0,52.0,70.0,79.0,2400.0,gold,bronze,,gold,silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gold,,Good,,Wing,23.893258879433006
GG Jackson,United States,None,Memphis Grizzlies,45,SF,SF,Rim Rocker,"6'9""",206,210.0,95.0,"7'0""",213.0,,2.0,"December 17, 2004","Columbia, South Carolina",South Carolina,76,72.0,71.0,70.0,77.0,74.0,65.0,75.0,76.0,82.0,79.0,62.0,82.0,88.0,60.0,80.0,71.0,71.0,65.0,85.0,59.0,59.0,59.0,78.0,95.0,57.0,59.0,62.0,80.0,50.0,36.0,55.0,58.0,58.0,37.0,50.0,70.0,69.0,40.0,59.0,58.0,60.0,60.0,82.0,2465.0,bronze,,,silver,,,,,,silver,gold,,,,silver,,,,silver,,,,,,,,,,,,,,,,,,,,silver,gold,Good,,Wing,22.38665284192667
