Unnamed: 0,name,nationality_1,nationality_2,team,jersey,position_1,position_2,archetype,height_feet,height_cm,weight_lbs,weight_kg,wingspan_feet,wingspan_cm,season_salary,years_in_the_nba,birthdate,hometown,prior_to_nba,overall,group_outside_scoring,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,group_athleticism,speed,agility,strength,vertical,stamina,hustle,overall_durability,group_inside_scoring,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,group_playmaking,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,group_defense,interior_defense,perimeter_defense,steal,block,help_defense_iq,pass_perception,defensive_consistency,group_rebounding,offensive_rebound,defensive_rebound,intangibles,potential,total_attributes,badge_deadeye,badge_limitless_range,badge_mini_marksman,badge_set_shot_specialist,badge_shifty_shooter,badge_aerial_wizard,badge_float_game,badge_hook_specialist,badge_layup_mixmaster,badge_paint_prodigy,badge_physical_finisher,badge_post_fade_phenom,badge_post_powerhouse,badge_post_up_poet,badge_posterizer,badge_rise_up,badge_ankle_assassin,badge_bail_out,badge_break_starter,badge_dimer,badge_handles_for_days,badge_lightning_launch,badge_strong_handle,badge_unpluckable,badge_versatile_visionary,badge_challenger,badge_glove,badge_high_flying_denier,badge_immovable_enforcer,badge_interceptor,badge_off_ball_pest,badge_on_ball_menace,badge_paint_patroller,badge_pick_dodger,badge_post_lockdown,badge_boxout_beast,badge_rebound_chaser,badge_brick_wall,badge_slippery_off_ball,badge_pogo_stick
101,Dereck Lively II,United States,Unknown,Dallas Mavericks,2,C,Unknown,Paint Beast,"7'1""",216,230.0,104.0,"7'7""",231.0,0.0,2.0,"February 12, 2004","Philadelphia, Pennsylvania",Duke,81,75.0,97.0,60.0,52.0,64.0,90.0,85.0,71.0,50.0,57.0,70.0,67.0,80.0,95.0,80.0,71.0,82.0,85.0,83.0,59.0,54.0,59.0,55.0,90.0,58.0,69.0,52.0,40.0,68.0,61.0,65.0,78.0,57.0,38.0,91.0,75.0,54.0,65.0,84.0,90.0,78.0,90.0,85.0,2605.0,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,bronze,silver,Unknown,bronze,Unknown,silver,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,gold,silver,bronze,Unknown,silver
102,Derrick Jones Jr.,United States,Unknown,Los Angeles Clippers,55,SF,PF,2-Way 3-Level Scoring Threat,"6'6""",198,210.0,95.0,"7'0""",213.0,0.0,9.0,"February 15, 1997","Chester, Pennsylvania",UNLV,79,75.0,80.0,82.0,80.0,70.0,60.0,75.0,81.0,77.0,84.0,59.0,93.0,83.0,95.0,78.0,71.0,79.0,85.0,94.0,50.0,52.0,52.0,68.0,90.0,55.0,65.0,68.0,61.0,54.0,29.0,73.0,67.0,84.0,63.0,57.0,82.0,80.0,80.0,52.0,53.0,50.0,75.0,80.0,2634.0,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,gold,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,gold
103,Derrick White,United States,Unknown,Boston Celtics,9,SG,PG,2-Way Inside-Out Combo Guard,"6'4""",193,190.0,86.0,"6'8""",203.0,0.0,8.0,"July 2, 1994","Parker, Colorado",Colorado,87,88.0,98.0,79.0,84.0,85.0,85.0,95.0,80.0,88.0,93.0,46.0,75.0,85.0,95.0,81.0,60.0,89.0,40.0,55.0,35.0,51.0,35.0,83.0,90.0,82.0,88.0,86.0,87.0,82.0,69.0,80.0,58.0,91.0,80.0,67.0,92.0,78.0,95.0,46.0,38.0,54.0,60.0,88.0,2780.0,bronze,Unknown,bronze,gold,bronze,Unknown,silver,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,bronze,silver,Unknown,Unknown,gold,silver,Unknown,silver,silver,gold,gold,Unknown,gold,Unknown,Unknown,Unknown,Unknown,Unknown,gold
104,Desmond Bane,United States,Unknown,Orlando Magic,22,SG,SF,Shot-Creating 3-Level Threat,"6'5""",196,215.0,97.0,"6'4""",193.0,0.0,5.0,"June 25, 1995","Richmond, Indiana",Texas Christian,83,90.0,91.0,95.0,88.0,88.0,90.0,90.0,78.0,74.0,80.0,56.0,78.0,92.0,85.0,78.0,61.0,81.0,35.0,75.0,49.0,61.0,56.0,44.0,84.0,75.0,78.0,80.0,70.0,77.0,71.0,66.0,59.0,79.0,49.0,51.0,78.0,78.0,70.0,54.0,40.0,67.0,75.0,87.0,2679.0,silver,silver,Unknown,gold,silver,Unknown,bronze,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown
105,Devin Booker,United States,Unknown,Phoenix Suns,1,PG,SG,Offensive Architect,"6'6""",198,206.0,93.0,"6'8""",203.0,0.0,10.0,"October 30, 1996","Grand Rapids, Michigan",Kentucky,91,89.0,96.0,97.0,85.0,89.0,70.0,95.0,82.0,83.0,80.0,59.0,79.0,95.0,95.0,81.0,78.0,95.0,30.0,75.0,74.0,79.0,85.0,87.0,98.0,88.0,95.0,93.0,83.0,96.0,74.0,60.0,58.0,75.0,40.0,37.0,74.0,74.0,65.0,44.0,40.0,47.0,65.0,94.0,2837.0,gold,gold,Unknown,gold,gold,Unknown,gold,Unknown,silver,Unknown,silver,silver,Unknown,bronze,Unknown,Unknown,gold,gold,gold,silver,gold,gold,silver,gold,gold,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown
106,Devin Carter,United States,Unknown,Sacramento Kings,22,PG,SF,Inside-Out Scoring Threat,"6'3""",191,195.0,88.0,"6'7""",201.0,0.0,1.0,"March 18, 2002","Miami, Florida",Providence,74,69.0,83.0,67.0,75.0,61.0,60.0,65.0,86.0,98.0,89.0,60.0,94.0,92.0,90.0,80.0,55.0,74.0,30.0,80.0,40.0,42.0,42.0,40.0,95.0,79.0,80.0,79.0,90.0,80.0,68.0,67.0,58.0,73.0,80.0,55.0,70.0,80.0,50.0,60.0,51.0,69.0,50.0,83.0,2573.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
107,Devin Vassell,United States,Unknown,San Antonio Spurs,24,SG,SF,2-Way Perimeter Shot Creator,"6'5""",196,200.0,90.0,"6'10""",208.0,0.0,5.0,"August 23, 2000","Lawrenceville, Georgia",Florida State,81,79.0,87.0,90.0,81.0,80.0,50.0,85.0,78.0,72.0,83.0,60.0,77.0,89.0,85.0,82.0,66.0,79.0,40.0,60.0,51.0,65.0,65.0,70.0,95.0,71.0,76.0,82.0,65.0,79.0,53.0,72.0,62.0,83.0,59.0,55.0,81.0,85.0,80.0,45.0,34.0,55.0,60.0,83.0,2638.0,gold,Unknown,Unknown,silver,gold,Unknown,silver,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,silver,silver
108,Dillon Brooks,Canada,Unknown,Phoenix Suns,9,SF,PF,2-Way Sharpshooter,"6'6""",198,225.0,101.0,"6'6""",198.0,0.0,8.0,"January 22, 1996","Mississauga, Canada",Oregon,81,81.0,83.0,94.0,83.0,82.0,85.0,60.0,82.0,75.0,91.0,65.0,75.0,88.0,95.0,85.0,66.0,74.0,35.0,75.0,55.0,59.0,64.0,78.0,85.0,59.0,59.0,74.0,69.0,58.0,34.0,74.0,77.0,89.0,40.0,40.0,90.0,90.0,90.0,44.0,41.0,47.0,60.0,83.0,2627.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,Unknown,silver,Unknown,gold,gold,Unknown,silver,bronze,Unknown,Unknown,Unknown,silver,gold
109,Dillon Jones,United States,Unknown,Washington Wizards,3,PF,SF,Perimeter Defender,"6'6""",198,235.0,106.0,"6'10""",208.0,0.0,1.0,"October 29, 2001","Columbia, South Carolina",Weber State,69,55.0,63.0,70.0,57.0,55.0,50.0,35.0,78.0,75.0,82.0,70.0,71.0,85.0,80.0,80.0,58.0,72.0,35.0,65.0,50.0,50.0,50.0,55.0,89.0,65.0,68.0,70.0,67.0,69.0,53.0,57.0,67.0,69.0,42.0,42.0,69.0,57.0,55.0,63.0,58.0,67.0,55.0,77.0,2324.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
110,Domantas Sabonis,Lithuania,United States,Sacramento Kings,11,C,Unknown,3-Level Scoring Playmaker,"6'10""",208,240.0,108.0,"6'11""",211.0,0.0,9.0,"May 3, 1996","Portland, Oregon",Gonzaga,87,87.0,98.0,86.0,83.0,75.0,80.0,98.0,72.0,48.0,49.0,82.0,54.0,95.0,90.0,86.0,88.0,84.0,75.0,75.0,94.0,94.0,93.0,90.0,98.0,69.0,82.0,60.0,43.0,85.0,73.0,54.0,70.0,49.0,36.0,50.0,69.0,45.0,60.0,88.0,81.0,94.0,75.0,89.0,2788.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,silver,gold,bronze,silver,silver,silver,Unknown,bronze,Unknown,bronze,silver,gold,Unknown,Unknown,bronze,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,silver,silver,Unknown,Unknown
111,Dominick Barlow,United States,Unknown,Philadelphia 76ers,0,C,PF,Rim Protector,"6'9""",206,215.0,97.0,"7'1""",216.0,0.0,3.0,"May 26, 2003","Dumont, New Jersey",St. Joseph's Prep,73,78.0,91.0,73.0,70.0,72.0,80.0,80.0,74.0,68.0,68.0,62.0,75.0,80.0,85.0,80.0,58.0,65.0,60.0,75.0,52.0,50.0,52.0,35.0,75.0,54.0,51.0,69.0,64.0,52.0,33.0,52.0,50.0,47.0,41.0,82.0,57.0,49.0,40.0,68.0,71.0,64.0,80.0,73.0,2371.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
112,Donovan Clingan,United States,Unknown,Portland Trail Blazers,23,C,Unknown,Defensive Anchor,"7'3""",221,265.0,119.0,"7'7""",231.0,0.0,1.0,"February 23, 2004","Bristol, Connecticut",UConn,80,65.0,67.0,59.0,71.0,60.0,75.0,55.0,68.0,44.0,45.0,78.0,60.0,82.0,85.0,80.0,71.0,60.0,85.0,75.0,72.0,54.0,69.0,55.0,95.0,47.0,55.0,46.0,38.0,62.0,34.0,67.0,77.0,49.0,41.0,93.0,79.0,58.0,75.0,90.0,93.0,87.0,85.0,85.0,2483.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,gold,silver,bronze,Unknown,Unknown
113,Donovan Mitchell,United States,Unknown,Cleveland Cavaliers,45,SG,PG,Inside-Out Combo Guard,"6'3""",191,215.0,97.0,"6'10""",208.0,0.0,8.0,"September 7, 1996","Elmsford, Connecticut",Louisville,93,89.0,95.0,82.0,85.0,82.0,90.0,98.0,88.0,95.0,90.0,60.0,97.0,96.0,95.0,80.0,70.0,97.0,50.0,92.0,37.0,49.0,44.0,90.0,98.0,85.0,84.0,90.0,86.0,92.0,71.0,68.0,68.0,75.0,59.0,42.0,79.0,79.0,75.0,48.0,39.0,56.0,90.0,94.0,2881.0,gold,silver,gold,gold,gold,bronze,silver,Unknown,silver,Unknown,gold,Unknown,Unknown,Unknown,gold,Unknown,silver,silver,Unknown,Unknown,bronze,gold,silver,bronze,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze
114,Donte DiVincenzo,United States,Unknown,Minnesota Timberwolves,0,SG,SF,2-Way 3-Level Scoring Threat,"6'4""",193,203.0,91.0,"6'6""",198.0,0.0,7.0,"January 31, 1997","Newark, Delaware",Villanova,79,78.0,76.0,81.0,84.0,79.0,75.0,75.0,84.0,87.0,87.0,60.0,95.0,90.0,85.0,81.0,53.0,80.0,25.0,75.0,28.0,45.0,38.0,64.0,70.0,77.0,77.0,79.0,81.0,79.0,70.0,73.0,58.0,82.0,70.0,50.0,84.0,88.0,80.0,48.0,36.0,60.0,80.0,80.0,2634.0,Unknown,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,bronze,Unknown,bronze,bronze,bronze,bronze,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,bronze,Unknown
115,Dorian Finney-Smith,United States,Unknown,Houston Rockets,17,PF,C,2-Way Inside-Out Threat,"6'7""",201,220.0,99.0,"7'0""",213.0,0.0,9.0,"May 4, 1993","Portsmouth, Virginia",Florida,76,75.0,80.0,71.0,84.0,64.0,70.0,80.0,76.0,67.0,82.0,62.0,83.0,80.0,80.0,81.0,62.0,84.0,40.0,84.0,54.0,50.0,54.0,58.0,72.0,54.0,65.0,60.0,44.0,68.0,32.0,67.0,72.0,83.0,43.0,51.0,74.0,74.0,75.0,51.0,50.0,52.0,70.0,78.0,2471.0,Unknown,Unknown,Unknown,bronze,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,silver
116,Doug McDermott,United States,Unknown,Sacramento Kings,7,PF,SF,Catch & Shoot Ace,"6'6""",198,225.0,101.0,"6'9""",206.0,0.0,11.0,"January 3, 1992","Grand Forks, North Dakota",Creighton,71,73.0,85.0,78.0,87.0,76.0,60.0,50.0,68.0,59.0,60.0,60.0,67.0,81.0,67.0,83.0,65.0,79.0,50.0,65.0,60.0,66.0,62.0,60.0,75.0,54.0,65.0,67.0,47.0,65.0,27.0,48.0,52.0,58.0,32.0,42.0,63.0,50.0,40.0,39.0,30.0,48.0,30.0,76.0,2222.0,bronze,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
117,Draymond Green,United States,Unknown,Golden State Warriors,23,PF,C,2-Way Mid-Range Point Center,"6'6""",198,230.0,104.0,"7'1""",216.0,0.0,13.0,"March 4, 1990","Saginaw, Michigan",Michigan State,81,73.0,94.0,91.0,74.0,68.0,55.0,55.0,82.0,73.0,84.0,85.0,66.0,85.0,90.0,88.0,62.0,70.0,55.0,65.0,60.0,59.0,63.0,40.0,85.0,79.0,83.0,78.0,69.0,92.0,73.0,86.0,93.0,88.0,70.0,80.0,95.0,84.0,95.0,59.0,45.0,73.0,75.0,88.0,2786.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,gold,Unknown,Unknown,bronze,Unknown,gold,gold,Unknown,silver,gold,bronze,gold,gold,gold,silver,gold,Unknown,Unknown,bronze,Unknown,gold
118,Drew Eubanks,United States,Unknown,Sacramento Kings,15,C,Unknown,Inside-Out Scoring Threat,"6'10""",208,245.0,110.0,"7'0""",213.0,0.0,7.0,"February 1, 1997","Starkville, Mississippi",Oregon State,77,81.0,97.0,73.0,77.0,66.0,88.0,85.0,73.0,61.0,62.0,68.0,75.0,80.0,85.0,83.0,71.0,69.0,75.0,70.0,74.0,74.0,74.0,54.0,75.0,43.0,42.0,37.0,38.0,55.0,43.0,55.0,60.0,47.0,36.0,85.0,59.0,50.0,45.0,76.0,65.0,86.0,60.0,78.0,2451.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,bronze,Unknown,Unknown,bronze
119,Drew  Peterson,United States,Unknown,Charlotte Hornets,13,SF,PF,Catch & Shoot Threat,"6'9""",206,205.0,92.0,"7'1""",216.0,0.0,2.0,"November 9, 1999","Libertyville, illinois",Southern California,70,71.0,70.0,74.0,79.0,75.0,75.0,50.0,71.0,59.0,58.0,62.0,68.0,85.0,85.0,80.0,56.0,73.0,60.0,65.0,45.0,47.0,46.0,45.0,70.0,60.0,69.0,68.0,58.0,68.0,38.0,45.0,52.0,43.0,40.0,42.0,45.0,50.0,40.0,59.0,52.0,66.0,60.0,72.0,2234.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
120,Drew Timme,United States,Unknown,Brooklyn Nets,26,C,PF,Stretch Five,"6'10""",208,235.0,106.0,"7'2""",218.0,0.0,2.0,"September 9, 2000","Richardson, Texas",Gonzaga,71,69.0,86.0,75.0,75.0,79.0,70.0,30.0,65.0,48.0,40.0,68.0,66.0,80.0,75.0,81.0,66.0,68.0,70.0,65.0,68.0,67.0,68.0,40.0,80.0,53.0,58.0,52.0,40.0,70.0,47.0,46.0,57.0,40.0,46.0,45.0,58.0,47.0,30.0,66.0,66.0,66.0,75.0,75.0,2271.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
121,Dru Smith,United States,Unknown,Miami Heat,12,PG,SG,Perimeter Threat,"6'2""",188,200.0,90.0,"6'6""",198.0,0.0,4.0,"December 30, 1997","Evansville, Indiana",Missouri,73,74.0,57.0,74.0,81.0,84.0,75.0,70.0,69.0,70.0,70.0,43.0,62.0,85.0,75.0,80.0,50.0,79.0,40.0,45.0,38.0,37.0,40.0,40.0,80.0,70.0,78.0,79.0,70.0,78.0,46.0,62.0,40.0,63.0,83.0,62.0,65.0,68.0,50.0,50.0,50.0,49.0,98.0,73.0,2377.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
122,Duncan Robinson,United States,Unknown,Detroit Pistons,55,SG,SF,Catch & Shoot Ace,"6'7""",201,215.0,97.0,"7'1""",216.0,0.0,7.0,"April 22, 1994","Las Vegas, Nevada",Michigan,77,85.0,94.0,81.0,84.0,90.0,85.0,75.0,68.0,59.0,65.0,35.0,72.0,85.0,75.0,83.0,55.0,75.0,30.0,70.0,40.0,44.0,35.0,54.0,90.0,65.0,66.0,72.0,56.0,70.0,60.0,43.0,50.0,52.0,38.0,32.0,50.0,50.0,30.0,39.0,30.0,47.0,75.0,78.0,2277.0,silver,bronze,Unknown,gold,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown
123,Duop Reath,Australia,South Sudan,Portland Trail Blazers,26,C,Unknown,Stretch Five,"6'9""",206,245.0,110.0,"7'1""",216.0,0.0,7.0,"June 26, 1996","Perth, Australia",Louisiana State,75,81.0,85.0,68.0,75.0,80.0,95.0,85.0,73.0,59.0,52.0,73.0,75.0,83.0,90.0,80.0,61.0,68.0,50.0,60.0,55.0,55.0,55.0,68.0,74.0,43.0,40.0,52.0,46.0,44.0,35.0,53.0,62.0,37.0,41.0,67.0,68.0,50.0,45.0,61.0,69.0,52.0,80.0,75.0,2348.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver
124,Dwight Powell,Canada,Unknown,Dallas Mavericks,7,C,Unknown,Inside-Out Scoring Threat,"6'10""",208,240.0,108.0,"7'1""",216.0,0.0,11.0,"July 20, 1991","Toronto, Canada",Stanford,72,60.0,92.0,65.0,78.0,62.0,30.0,30.0,78.0,71.0,58.0,80.0,67.0,90.0,95.0,83.0,77.0,70.0,75.0,65.0,77.0,79.0,79.0,83.0,90.0,55.0,55.0,60.0,44.0,64.0,50.0,64.0,74.0,45.0,46.0,73.0,68.0,74.0,65.0,65.0,68.0,61.0,30.0,79.0,2475.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,silver,Unknown,Unknown,bronze,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,bronze,Unknown,silver,Unknown,Unknown
125,Dylan Harper,United States,Philippines,San Antonio Spurs,2,SG,PG,Unknown,"6'6""",198,215.0,97.0,Unknown,0.0,0.0,0.0,"March 2, 2006","Franklin Lakes, New Jersey",Rutgers,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
126,Dyson Daniels,Australia,Unknown,Atlanta Hawks,5,PG,SG,2-Way Inside-Out ISO Creator,"6'7""",201,199.0,90.0,"6'11""",211.0,0.0,3.0,"March 17, 2003","Bendigo, Australia",NBA G League Ignite,83,73.0,91.0,68.0,80.0,59.0,70.0,70.0,78.0,79.0,89.0,52.0,75.0,89.0,85.0,80.0,60.0,85.0,25.0,75.0,44.0,55.0,47.0,62.0,85.0,79.0,82.0,86.0,79.0,82.0,66.0,84.0,67.0,94.0,98.0,58.0,87.0,95.0,90.0,56.0,51.0,61.0,65.0,88.0,2714.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,gold,Unknown,silver,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,silver,Unknown,Unknown,Unknown,gold,Unknown,silver,gold,gold,Unknown,gold,gold,gold,gold,Unknown,gold,Unknown,Unknown,silver,Unknown,Unknown,silver
127,Egor Demin,Russia,Unknown,Brooklyn Nets,8,SF,SG,Unknown,"6'9""",206,200.0,90.0,Unknown,0.0,0.0,0.0,"March 3, 2006","Moscow, Russia",BYU,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
